db,study,trial_id,trial,state,value,datetime_start,datetime_complete,run_dir,param:channel_mask_prob,param:drift_amp_range,param:drift_freq_range,param:drift_mask_prob,param:drift_min_amp,param:drift_min_freq,param:freq_num_masks,param:gain_mask_prob,param:gain_min_gain,param:gain_range,param:noise_apply_prob,param:noise_min_snr_db,param:noise_snr_range_db,param:powerline_amp_range,param:powerline_mask_prob,param:powerline_max_harmonic,param:powerline_min_amp,param:time_num_masks,param:warp_mask_prob,param:warp_num_knots,param:warp_sigma,attr:drift_max_amp,attr:drift_max_freq,attr:gain_max_gain,attr:noise_max_snr_db,attr:powerline_max_amp
assets/optuna_augmentation.db,egoemg-aug-v5,196,81,COMPLETE,0.2506909966468811,2026-05-17 00:28:44.619737,2026-05-17 02:13:59.336162,logs/optuna_aug/egoemg-aug-v5/trial_0081_2026-05-17_00-28-44,0.011203691247020031,0.04184283495891806,0.45105701468317705,0.3543819774149374,0.015391324407768973,0.01141821045910595,4.0,0.14216728154428293,0.5291157360651023,0.14481230776788923,0.7761489037612139,44.09365789268963,16.71619139161948,0.04867162449572932,0.08004493267531872,5.0,0.014131850720489,6.0,0.025339497250516888,15.0,0.17703128513040015,0.057234159366687035,0.462475225142283,0.6739280438329915,50.0,0.06280347521621832
assets/optuna_augmentation.db,egoemg-aug-v5,183,68,COMPLETE,0.2511231005191803,2026-05-16 01:23:02.632672,2026-05-16 03:10:44.613813,logs/optuna_aug/egoemg-aug-v5/trial_0068_2026-05-16_01-23-02,0.0023711055498367717,0.03911289272185564,0.40656722265933254,0.36012504302885506,0.01804452661801042,0.01844699056683005,5.0,0.03765820237031384,0.6543932399412205,0.12087857287160761,0.7347772356171786,41.660746756640094,17.10006660958233,0.044909351774371,0.05565723491385581,4.0,0.014698612902016336,6.0,0.3040452264916019,4.0,0.08756955919272306,0.05715741933986606,0.4250142132261626,0.7752718128128281,50.0,0.059607964676387334
assets/optuna_augmentation.db,egoemg-aug-v5,220,105,COMPLETE,0.25125738978385925,2026-05-18 18:56:01.846738,2026-05-18 20:41:43.826350,logs/optuna_aug/egoemg-aug-v5/trial_0105_2026-05-18_18-56-01,0.03132705599402408,0.02784436466373336,0.583553290272685,0.39141809149401596,0.007148264707017584,0.013867651332226753,1.0,0.2500816409462251,0.56640897707699,0.16638437784240706,0.7460388379400432,43.36735394869559,17.63136566548636,0.04732913042014537,0.03057183542093951,5.0,0.006980057960628066,5.0,0.07365519179741022,16.0,0.17002405003756466,0.03499262937075094,0.5974209416049118,0.732793354919397,50.0,0.054309188380773435
assets/optuna_augmentation.db,egoemg-aug-v5,208,93,COMPLETE,0.25133490562438965,2026-05-17 21:50:43.148468,2026-05-17 23:38:56.824653,logs/optuna_aug/egoemg-aug-v5/trial_0093_2026-05-17_21-50-43,0.02450395981159829,0.02730467003570301,0.5254689822522652,0.4076897976464497,0.006260990908504134,0.03228753176958024,2.0,0.17368577055536874,0.5128599230077328,0.065207269173937,0.7995301600948335,42.50328981816656,18.127327260560854,0.04601557922095274,0.08223127453337437,5.0,0.009549642737874574,6.0,0.09912642598668514,13.0,0.17434766720478892,0.03356566094420714,0.5577565140218455,0.5780671921816698,50.0,0.05556522195882732
assets/optuna_augmentation.db,egoemg-aug-v5,195,80,COMPLETE,0.25134706497192383,2026-05-16 22:41:59.942067,2026-05-17 00:28:44.611010,logs/optuna_aug/egoemg-aug-v5/trial_0080_2026-05-16_22-42-00,0.014024384248377476,0.04164171155488785,0.46225948914134757,0.3514275609652615,0.015389958461299282,0.012763530486320424,4.0,0.13942461718652543,0.5035107881356443,0.13898726708457676,0.7649991905041152,44.01654819020983,17.01666094752443,0.04897500868839867,0.08150951329472947,5.0,0.011679946255657516,6.0,0.03532207862955566,14.0,0.16456701250200598,0.05703167001618713,0.475023019627668,0.6424980552202211,50.0,0.06065495494405619
assets/optuna_augmentation.db,egoemg-aug-v5,219,104,COMPLETE,0.2515379786491394,2026-05-18 17:07:53.243781,2026-05-18 18:56:01.836477,logs/optuna_aug/egoemg-aug-v5/trial_0104_2026-05-18_17-07-53,0.03193584024118546,0.027378990053034295,0.5759555599301303,0.4108452530810536,0.009545217034810368,0.014281294649788931,1.0,0.2518201635472836,0.5537044441227644,0.13132499467627087,0.7303049882713326,43.99897311722025,20.94114603697933,0.04897361078113948,0.07915734780731092,5.0,0.007362304767935397,6.0,0.0014554772647627934,16.0,0.17970793936453475,0.03692420708784466,0.5902368545799191,0.6850294387990353,50.0,0.056335915549074876
assets/optuna_augmentation.db,egoemg-aug-v5,198,83,COMPLETE,0.25154027342796326,2026-05-17 04:01:15.795044,2026-05-17 05:49:07.420220,logs/optuna_aug/egoemg-aug-v5/trial_0083_2026-05-17_04-01-15,0.012228817736734624,0.03544705071774095,0.5463827460895403,0.3897416920133825,0.011813899145356011,0.01709535843022572,3.0,0.19683376565575905,0.5041758695907305,0.15503123529650045,0.7220540208685371,44.98695961491659,19.275650319062155,0.049374807539499556,0.060046383714262144,5.0,0.010935541936277696,7.0,0.008863505877703454,15.0,0.18009091253380044,0.047260949863096965,0.563478104519766,0.6592071048872309,50.0,0.06031034947577725
assets/optuna_augmentation.db,egoemg-aug-v5,211,96,COMPLETE,0.25155946612358093,2026-05-18 03:08:13.873021,2026-05-18 04:51:56.960113,logs/optuna_aug/egoemg-aug-v5/trial_0096_2026-05-18_03-08-13,0.04433703931978247,0.030437937606747997,0.4882501754381945,0.387060349746739,0.0077462243180833595,0.016436129320742017,0.0,0.13986334856348465,0.5824370934542945,0.0949674845247741,0.6769475884723055,44.8942743978112,19.13717186531162,0.04624882863164395,0.10720047437568712,5.0,0.00854352886515633,8.0,0.02716147768643007,15.0,0.18854902211128763,0.03818416192483136,0.5046863047589365,0.6774045779790686,50.0,0.05479235749680028
assets/optuna_augmentation.db,egoemg-aug-v5,205,90,COMPLETE,0.2517387270927429,2026-05-17 16:29:06.019611,2026-05-17 18:13:47.119460,logs/optuna_aug/egoemg-aug-v5/trial_0090_2026-05-17_16-29-06,0.03860874225978044,0.02752286896029186,0.4694288851770802,0.47530413187762155,0.010178624396892422,0.01595660280810928,1.0,0.2522347914201319,0.5586907106639303,0.07198775708235516,0.8005379594765912,43.174909937186335,21.203860306735006,0.04824910110061119,0.09958593647547752,5.0,0.009519376938700698,6.0,0.02197657162512985,15.0,0.20473213163871715,0.037701493357184285,0.4853854879851895,0.6306784677462854,50.0,0.057768478039311885
assets/optuna_augmentation.db,egoemg-aug-v5,158,43,COMPLETE,0.2518993616104126,2026-05-14 14:03:54.440958,2026-05-14 14:03:54.440958,,0.025382831645194087,0.05504620493682285,0.07879627351735267,0.19900500136795388,0.009754716613268518,0.05500606880376399,7.0,0.01293917193747296,0.7147581002171965,0.23359175806972782,0.5520679383395867,37.21471890643086,14.806794692461922,0.04750947316300547,0.06926244919503823,4.0,0.01422432314553331,2.0,0.2258317486523452,4.0,0.06549047142430757,,,,,
